,Region,Density,GDP_capita
0,Andalusia,96,16960
1,Aragon,28,25540
2,Balearic Islands,230,24393
3,Basque Autonomous Community,305,30829
4,Canary Islands,289,19568
5,Cantabria,109,22341
6,Castile and León,25,22289
7,Castilla-La Mancha,26,17698
8,Catalonia,239,27248
9,Chartered Community of Navarre,63,29071
10,Community of Madrid,830,29385
11,Extremadura,26,15394
12,Galicia,91,20723
13,La Rioja,63,25508
14,Principality of Asturias,96,21035
15,Region of Murcia,132,18520
16,Valencian Community,215,19964
